,coin,time,near_symbol,far_symbol,vwap_near,vwap_far,spread,volume_near,volume_far
167,XBT,2018-01-09 22:00:00,XBTH18,XBTM18,15793.717081932671,16573.71648566775,779.9994037350771,3145070,361611
168,XBT,2018-01-09 23:00:00,XBTH18,XBTM18,15494.737301852429,16386.722458189575,891.9851563371467,2395129,399563
169,XBT,2018-01-10 00:00:00,XBTH18,XBTM18,15046.060851052169,16019.533267331642,973.4724162794737,17044664,1812586
170,XBT,2018-01-10 01:00:00,XBTH18,XBTM18,15164.888041199021,16245.625543782915,1080.7375025838937,5818978,177149
171,XBT,2018-01-10 02:00:00,XBTH18,XBTM18,15260.463499387793,16326.56762853921,1066.1041291514157,1074308,112631
172,XBT,2018-01-10 03:00:00,XBTH18,XBTM18,15263.473707642432,16318.131261192764,1054.6575535503325,1525038,265149
173,XBT,2018-01-10 04:00:00,XBTH18,XBTM18,15330.358786280314,16314.23347688104,983.8746906007254,4594843,358312
174,XBT,2018-01-10 05:00:00,XBTH18,XBTM18,15350.616938028734,16360.158092715,1009.541154686267,2753226,579698
175,XBT,2018-01-10 06:00:00,XBTH18,XBTM18,15453.062365363588,16342.703658491318,889.64129312773,2885622,438648
176,XBT,2018-01-10 07:00:00,XBTH18,XBTM18,15388.898885822136,16300.170954325526,911.2720685033892,1039670,112969
177,XBT,2018-01-10 08:00:00,XBTH18,XBTM18,14688.916129483932,15684.180058222102,995.2639287381699,20143383,1356284
178,XBT,2018-01-10 09:00:00,XBTH18,XBTM18,14658.426270212989,15564.838890337693,906.4126201247036,6645806,889198
179,XBT,2018-01-10 10:00:00,XBTH18,XBTM18,14794.315233345143,15759.879727286385,965.5644939412414,1241884,199070
180,XBT,2018-01-10 11:00:00,XBTH18,XBTM18,14982.90474568232,15870.64698901741,887.7422433350912,2267120,57145
181,XBT,2018-01-10 12:00:00,XBTH18,XBTM18,14974.025226816626,15872.880626862874,898.8554000462482,1652911,280186
182,XBT,2018-01-10 13:00:00,XBTH18,XBTM18,14906.34273133548,15784.637560609264,878.2948292737838,1556654,546824
183,XBT,2018-01-10 14:00:00,XBTH18,XBTM18,14679.25457206425,15529.449681414719,850.1951093504686,6457038,915574
184,XBT,2018-01-10 15:00:00,XBTH18,XBTM18,15199.944354897041,15988.399162046811,788.4548071497702,6630181,1587993
185,XBT,2018-01-10 16:00:00,XBTH18,XBTM18,15627.189036827041,16454.546903022558,827.3578661955162,7094198,755452
186,XBT,2018-01-10 17:00:00,XBTH18,XBTM18,15619.018700665127,16324.306577936863,705.2878772717359,1856331,251016
187,XBT,2018-01-10 18:00:00,XBTH18,XBTM18,15837.897089412636,16548.75961990221,710.8625304895722,4544908,503311
188,XBT,2018-01-10 19:00:00,XBTH18,XBTM18,15621.367748365525,16237.737191913542,616.3694435480174,2034542,507812
189,XBT,2018-01-10 20:00:00,XBTH18,XBTM18,15592.676612781172,16143.019161541362,550.3425487601908,1440439,620412
190,XBT,2018-01-10 21:00:00,XBTH18,XBTM18,15812.799185133506,16455.74670053914,642.9475154056345,1065927,232778
191,XBT,2018-01-10 22:00:00,XBTH18,XBTM18,15611.154504787231,16332.932692096409,721.7781873091772,1380547,188332
192,XBT,2018-01-10 23:00:00,XBTH18,XBTM18,15994.68272458083,16830.14964426185,835.466919681021,3069050,683078
193,XBT,2018-01-11 00:00:00,XBTH18,XBTM18,16029.137262318944,16783.289576307543,754.1523139885994,2808714,355611
194,XBT,2018-01-11 01:00:00,XBTH18,XBTM18,15670.769443308116,16541.867472538754,871.0980292306376,1918661,845089
195,XBT,2018-01-11 02:00:00,XBTH18,XBTM18,15441.294741931204,16463.761665327467,1022.4669233962632,3731913,3093446
196,XBT,2018-01-11 03:00:00,XBTH18,XBTM18,14484.610365389932,15375.301753824575,890.6913884346432,23101447,3090592
